Symbol,Bulk Static Energy (eV),Reference Energy (eV),Clean Cohesive,Cohesive Energy (eV),Cohesive Energy Per Atom (eV),Atomic Number,Mendeleev Number,Atomic Mass,STP Phase,Natural Crystal Structure,Vacancy Formation Energy (eV),"Vacancy Migration Energy, non-disp (eV)","Vacancy Migration Energy, disp (eV)",Experimental Hvac,Experimental Hmig,Activation Energy (eV),NEBimageVolume,Ionization Energies (eV)
Ac,-442.22819,-0.25,1.00,415.09,3.843385463,89,48,227,solid,fcc,1.259565,0.4603,0.45434,,,1.719865,4900,5.17
Ag,-305.97104,-0.35,1.00,268.38,2.484999975,47,71,107.86,solid,fcc,0.683455,0.69518,0.69503,1.12,0.6,1.378635,1930,7.57623
Al,-403.99324,-0.23,1.00,379.35,3.512481298,13,80,26.9815,solid,fcc,0.607072,0.58135,0.58165,0.68,0.68,1.188422,1779.29,5.985768
Ar,-7.4040335,-0.05,1.00,1.71,0.015854816,18,3,39.948,gas,fcc,0.049976,0.020634,,,,0.07061,4859,15.75961
Au,-353.8462,-0.28,1.00,323.28,2.993362624,79,70,196.97,solid,fcc,0.400096,0.54871,0.54792,0.89,0.84,0.948806,1951.89,9.22553
Ba,,,0.00,0.00,0,56,14,137.32,solid,bcc,1.085024,0,,,,1.085024,0,5.211664
Be,-395.30991,-0.01,1.00,394.12,3.649235582,4,77,9.012,solid,hcp,-0.062697,0.75021,0.75034,,,0.687513,851,9.3227
Ca,-216.42444,-0.13,1.00,202.14,1.87170311,20,16,40.078,solid,fcc,1.1336,0.47058,,,,1.60418,4554,6.11316
Cd,,,0.00,0.00,0,48,75,112.411,solid,hcp,0.302081,0,,0.45,,0.302081,0,8.99382
Ce,-640.66409,-1.27,1.00,503.70,4.663923507,58,32,140.116,solid,fcc,1.298365,0.54476,,,,1.843125,2818,5.5387
Co,-746.51927,-1.34,1.00,601.82,5.572442663,27,64,58.9332,solid,hcp,1.841825,1.44915,1.44897,1.71,0.98,3.290975,1111.92,7.88101
Cu,-402.33138,-0.25,1.00,375.52,3.477060616,29,72,63.546,solid,fcc,1.066309,0.71719,0.717,1.29,0.78,1.783499,1292.22,7.72638
